@RELATION STAR-AB

@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE jk NUMERIC
@ATTRIBUTE grp {a,b}


@DATA
0.46099997,0.13100004,0.592,a
0.12800026,0.076999664,0.20499992,a
0.03399992,0.075000286,0.109000206,a
0.14400005,0.069000244,0.2130003,a
0.027000427,0.07199955,0.09899998,a
-0.01999998,0.0710001,0.05100012,a
0.22799969,0.069999695,0.29799938,a
0.020999908,0.103000164,0.12400007,a
0.3010006,0.031999588,0.33300018,a
0.12899971,1.8260002,1.9549999,a
0.43400002,0.10000038,0.5340004,a
0.28499985,0.044000626,0.32900047,a
0.06099987,0.05700016,0.11800003,a
0.02699995,0.019000053,0.046000004,a
0.11100006,0.026000023,0.13700008,a
-0.07399988,0.019000053,-0.05499983,a
-0.017000198,0.024999619,0.00799942,a
-0.11800003,-0.011000156,-0.12900019,a
-0.09599972,-0.01600027,-0.11199999,a
0.0880003,0.07499981,0.1630001,a
-0.03999996,0.035999775,-0.004000187,a
0.17000008,0.027999878,0.19799995,a
0.10800028,0.12299967,0.23099995,a
0.018000126,0.001999855,0.01999998,a
0.26999998,0.13899994,0.40899992,a
0.8660002,0.8870001,1.7530003,a
0.065999985,0.15299988,0.21899986,a
0.034999847,0.048000336,0.08300018,a
0.16899967,0.012000084,0.18099976,a
0.052000046,0.05000019,0.10200024,a
-0.07700014,0.028999805,-0.048000336,a
0.22299957,0.061000347,0.28399992,a
0.171,0.0069999695,0.17799997,a
0.06000042,0.09399986,0.15400028,a
-0.0039999485,-0.018000007,-0.021999955,a
-0.0069999695,-0.006000042,-0.013000011,a
0.34899998,0.10599995,0.45499992,a
-0.04699993,0.076999664,0.029999733,a
0.12799978,0.015999794,0.14399958,a
0.0539999,0.046000004,0.099999905,a
0.12800026,0.027000427,0.15500069,a
0.10199976,0.05100012,0.15299988,a
0.13500023,0.055000305,0.19000053,a
-0.035000324,0.01600027,-0.019000053,a
0.22600031,0.0909996,0.3169999,a
-0.06600046,0.04700041,-0.019000053,a
0.4050002,0.072999954,0.47800016,a
-0.08500004,9.999275E-4,-0.08400011,a
-0.06699991,-0.02300024,-0.09000015,a
-9.999275E-4,0.018000126,0.017000198,a
-0.059000015,0.012000084,-0.04699993,a
0.2539997,0.07200003,0.32599974,a
-0.0880003,0.009000301,-0.078999996,a
-0.08400011,-0.007999897,-0.09200001,a
0.10000038,0.110999584,0.21099997,a
-0.0539999,0.026999474,-0.027000427,a
-0.043999672,-0.032999992,-0.076999664,a
-0.045000076,-0.013000011,-0.058000088,a
0.51199913,0.19099998,0.7029991,a
-0.026000023,0.03999996,0.013999939,a
0.009999752,0.011000156,0.020999908,a
-0.020000458,0.07999992,0.059999466,a
-0.08700037,0.05000019,-0.03700018,a
-0.035999775,0.09899998,0.0630002,a
-0.07800007,0.0030002594,-0.07499981,a
-0.034000397,-0.040999413,-0.07499981,a
0.3449998,0.45200014,0.79699993,a
-0.11199951,0.048999786,-0.062999725,a
-0.062000275,0.029000282,-0.032999992,a
0.041000366,0.031999588,0.072999954,a
-0.021999836,0.024000168,0.0020003319,a
0.0710001,0.07499981,0.14599991,a
-0.059999943,-0.0030002594,-0.0630002,a
-0.09000015,0.0030002594,-0.08699989,a
0.001999855,0.052000046,0.0539999,a
0.19500065,0.10099983,0.29600048,a
-0.012000084,0.034999847,0.022999763,a
-0.070999146,-0.023000717,-0.09399986,a
0.23999977,0.08899975,0.32899952,a
-0.045000076,0.0029997826,-0.042000294,a
0.032999992,0.05099964,0.083999634,a
0.072999954,0.12199974,0.1949997,a
0.029000282,0.14899969,0.17799997,a
0.37300014,0.1619997,0.53499985,a
0.044000626,0.062999725,0.10700035,a
0.07700014,0.065999985,0.14300013,a
0.23999977,0.048999786,0.28899956,a
0.14000034,0.06199932,0.20199966,a
-0.103999615,-0.01999998,-0.123999596,a
0.17800045,0.01099968,0.18900013,a
0.018000126,0.0029997826,0.020999908,a
0.059999466,0.055000305,0.11499977,a
0.21700001,0.052999496,0.2699995,a
0.1789999,0.08199978,0.26099968,a
-0.03600025,0.047999382,0.01199913,a
0.09399986,0.031000137,0.125,a
0.15600014,0.022999763,0.1789999,a
0.09800005,0.035999775,0.13399982,a
-0.042999744,0.001999855,-0.04099989,a
-0.013000011,0.022999763,0.009999752,a
-0.103000164,0.031000137,-0.07200003,a
-0.08300018,0.015000343,-0.06799984,a
0.119000435,0.031999588,0.15100002,a
-0.073999405,0.013999939,-0.059999466,a
0.065999985,0.08500004,0.15100002,a
-0.11400032,0.029000282,-0.08500004,a
0.2859993,0.0350008,0.3210001,a
0.001999855,0.04400015,0.046000004,a
-0.0069999695,0.035999775,0.028999805,a
0.13099957,0.041000366,0.17199993,a
-0.0710001,0.007999897,-0.0630002,a
-0.041000366,0.037000656,-0.00399971,a
-0.096999645,0.04699993,-0.049999714,a
0.61800003,0.2119999,0.8299999,a
-0.025000095,0.059999943,0.034999847,a
-0.058000088,0.035999775,-0.022000313,a
0.12400007,0.07200003,0.1960001,a
0.1170001,0.024999619,0.14199972,a
0.29800034,0.083999634,0.38199997,a
-0.06800032,-0.02699995,-0.09500027,a
0.03700018,0.06799984,0.10500002,a
-0.015000343,0.015000343,0.0,a
-0.052000046,-0.027999878,-0.07999992,a
-0.06500006,0.052000046,-0.013000011,a
0.23900032,0.123000145,0.36200047,a
0.010000229,0.116000175,0.1260004,a
0.009999752,0.01600027,0.026000023,a
0.029999733,0.049000263,0.078999996,a
0.24500084,0.05799961,0.30300045,a
-0.089999676,-0.022000313,-0.11199999,a
-0.00799942,0.037999153,0.029999733,a
0.10700035,0.040999413,0.14799976,a
0.13300037,0.031999588,0.16499996,a
0.027999878,0.055999756,0.083999634,a
0.07399988,0.11199999,0.18599987,a
-0.09300041,0.058000565,-0.034999847,a
-0.049000263,0.025000095,-0.024000168,a
0.013000488,0.024000168,0.037000656,a
0.40300035,0.082999706,0.48600006,a
-0.027999878,-0.015000343,-0.04300022,a
0.22000027,0.13399982,0.3540001,a
0.08599949,0.062000275,0.14799976,a
-0.09200001,0.004000187,-0.08799982,a
0.13000011,0.076999664,0.20699978,a
-0.08099985,0.03600025,-0.0449996,a
0.05499983,0.046000004,0.10099983,a
0.03000021,0.036999702,0.06699991,a
