@RELATION STAR-A-BE



@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE grp {o,be}


@DATA
-0.05099964,0.022999763,be
0.001999855,0.0880003,be
-0.0029997826,0.001999855,be
0.0089998245,0.07700014,be
-0.006000042,0.171,be
0.035999298,0.0710001,be
-0.046000004,0.10200024,be
0.08699989,0.031999588,be
0.283,0.19099998,be
0.049000263,0.119999886,be
-0.204,0.1500001,be
-0.08199978,-0.02699995,be
0.026999474,0.018000603,be
0.049999714,0.19000006,be
0.06000042,0.07800007,be
0.017999649,0.22500038,be
-0.10199976,0.03700018,be
0.022000313,0.1079998,be
0.14400005,0.22700024,be
-0.0029997826,0.106999874,be
-0.03799963,0.039000034,be
-0.021999836,0.04799986,be
-0.04799986,0.007999897,be
0.37300014,0.1619997,be
0.06800032,0.26200008,be
0.017000198,0.034000397,be
-0.09599972,0.039000034,be
-0.006000042,0.25199986,be
-0.072999954,0.016000748,be
0.06700039,0.24399996,be
0.1970005,0.26199913,be
-0.10299969,0.045999527,be
0.015000343,0.28999996,be
-0.0029997826,0.03999996,be
-9.999275E-4,0.0,be
-0.08799982,0.03700018,be
-0.08099985,0.09500027,be
0.013000488,0.119999886,be
0.1329999,0.0630002,be
0.012000084,0.08799982,be
0.1329999,0.26999998,be
-0.09400034,0.04300022,be
0.020999908,0.035000324,be
0.019000053,0.0909996,be
0.020000458,0.14900017,be
-0.07400036,0.031000137,be
-0.09899998,0.06799984,be
-0.029000282,0.03700018,be
0.10300064,0.110999584,be
0.0630002,0.13599968,be
0.010000229,0.031000137,be
-0.06399965,-0.019000053,be
0.005999565,0.15299988,be
0.05100012,0.17600012,be
-0.013000011,0.10999966,be
-0.04099989,9.999275E-4,be
0.03000021,0.12599993,be
-0.09200001,-0.031999588,be
0.013000011,0.29400015,be
-0.12000036,-0.021999836,be
0.072999954,0.12200022,be
9.999275E-4,0.08700037,be
-0.018000126,0.075000286,be
0.0539999,0.18900013,be
-0.07200003,-0.02699995,be
-0.045000076,0.014000416,be
0.020000458,-0.0030002594,be
0.16599989,0.3130002,be
0.099999905,0.22300005,be
0.021999836,0.034999847,be
-0.027000427,-0.05799961,be
-0.062999725,-0.013999939,be
0.125,0.11899948,be
-0.05700016,0.031000137,be
0.45800018,0.21500015,be
-0.031999588,0.16499996,be
-0.08300018,0.19500017,be
-0.019000053,0.11899996,be
-0.0630002,0.059999943,be
-0.052999496,0.01499939,be
0.024000168,0.21299982,be
0.13000011,0.26799965,be
0.1949997,0.25,be
0.09800005,0.14599991,be
-0.0149998665,0.10199976,be
0.5829997,0.112999916,be
-0.017999649,-0.01999998,be
0.03999996,0.05100012,be
0.011000156,0.20300007,be
0.052000046,0.12100029,be
0.02300024,0.18199968,be
