@RELATION STAR-B-BE

@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE jk NUMERIC
@ATTRIBUTE grp {b,be}


@DATA
-0.0630002,0.05000019,-0.013000011,b
-0.06500006,0.01999998,-0.045000076,b
-0.10600042,0.0030002594,-0.103000164,b
-0.048999786,0.021999836,-0.02699995,b
-0.012000084,-0.06000042,-0.0720005,b
-0.069000244,-0.03099966,-0.099999905,b
-0.10899973,0.0050001144,-0.103999615,b
0.055999756,0.029000282,0.08500004,b
-0.13000011,0.058000088,-0.07200003,b
0.041999817,0.08500004,0.12699986,b
0.01600027,0.13100004,0.14700031,b
-0.069000244,0.035000324,-0.03399992,b
-0.032000065,-0.0030002594,-0.035000324,b
-0.1079998,0.0050001144,-0.10299969,b
-0.03999996,0.04099989,9.999275E-4,b
-0.07000065,-0.06799984,-0.13800049,b
-0.032000065,0.01999998,-0.012000084,b
0.0449996,0.19000006,0.23499966,b
-0.08899975,-0.0069999695,-0.09599972,b
-0.052999973,-0.0050001144,-0.058000088,b
-0.031000137,-0.017000198,-0.048000336,b
-0.012000084,0.0029997826,-0.009000301,b
-0.05499983,-0.01999998,-0.07499981,b
0.05000019,0.052000046,0.10200024,b
-0.020999908,0.016999722,-0.004000187,b
-0.04700041,0.06800032,0.020999908,b
-0.03999996,0.036999702,-0.0030002594,b
-0.09000015,0.007999897,-0.082000256,b
-0.061999798,-0.034000397,-0.096000195,b
-0.019000053,0.052000046,0.032999992,b
-0.0149998665,-0.007999897,-0.022999763,b
-0.072999954,0.015999794,-0.05700016,b
0.052000046,-0.123000145,-0.0710001,b
-0.08700037,-0.015999794,-0.103000164,b
-0.0630002,-0.001999855,-0.06500006,b
-0.0710001,0.0050001144,-0.065999985,b
0.27900028,0.19700003,0.4760003,b
-0.065999985,0.001999855,-0.06400013,b
-0.052000046,-0.023999691,-0.07599974,b
-0.07400036,-0.00799942,-0.08199978,b
-0.052999973,-0.045000076,-0.09800005,b
0.12800026,0.10899973,0.23699999,b
-0.0710001,0.00399971,-0.06700039,b
-0.076999664,-0.0069999695,-0.083999634,b
-0.06500006,0.02699995,-0.038000107,b
-0.11100006,-0.0050001144,-0.116000175,b
-0.08200073,-0.033999443,-0.116000175,b
-0.092999935,0.004000187,-0.08899975,b
-0.059999466,0.0010004044,-0.05899906,b
-0.10899973,0.023999691,-0.08500004,b
-0.025000095,-0.001999855,-0.02699995,b
-0.042000294,0.0030002594,-0.039000034,b
0.020999908,-0.04099989,-0.01999998,b
-0.035999775,-0.022000313,-0.058000088,b
-0.05199957,0.01999998,-0.031999588,b
-0.035999775,0.039000034,0.0030002594,b
-0.05700016,-0.017999649,-0.07499981,b
-0.17499971,0.09499979,-0.07999992,b
-0.06500006,-0.021999836,-0.08699989,b
-0.119999886,0.0050001144,-0.11499977,b
-0.13700008,-0.032999992,-0.17000008,b
-0.032999992,0.06099987,0.027999878,b
-0.09800005,0.015000343,-0.082999706,b
-0.0909996,0.029000282,-0.06199932,b
-0.11899996,-0.034999847,-0.1539998,b
-0.13599968,0.055000305,-0.080999374,b
-0.09599972,0.01499939,-0.08100033,b
-0.034999847,-0.024000168,-0.059000015,b
-0.12099981,0.027999878,-0.092999935,b
-0.09399986,0.004000187,-0.089999676,b
0.07700014,0.059999943,0.13700008,b
-0.019000053,0.013999939,-0.0050001144,b
0.001999855,-0.011000156,-0.009000301,b
0.004000187,0.009999752,0.013999939,b
-0.04699993,-0.04699993,-0.09399986,b
-0.08400011,0.03000021,-0.0539999,b
-0.07800007,-0.0089998245,-0.08699989,b
0.15799999,0.14100027,0.29900026,b
0.20100021,0.027999878,0.22900009,b
0.14199972,0.09200001,0.23399973,b
0.11100006,0.17299986,0.28399992,b
-0.08699989,0.05000019,-0.036999702,b
0.13700008,0.20900011,0.3460002,b
0.065999985,0.08400011,0.1500001,b
-0.041999817,0.019000053,-0.022999763,b
0.06499958,0.15500021,0.21999979,b
-0.10400009,0.04300022,-0.06099987,b
-0.012000084,0.12799978,0.1159997,b
-0.038000107,0.022000313,-0.015999794,b
-0.11399984,-0.04400015,-0.15799999,b
-0.022999763,0.039000034,0.01600027,b
-0.05300045,0.0030002594,-0.05000019,b
0.012000084,0.019000053,0.031000137,b
-0.14199972,-0.004000187,-0.14599991,b
-0.029999733,0.032000065,0.0020003319,b
0.029000282,0.03999996,0.069000244,b
-0.013999939,0.008000374,-0.005999565,b
0.013999939,0.07099962,0.08499956,b
-0.031000137,0.06700039,0.03600025,b
