# col1    HIP     RA               DE               RARad          DERad          
  25007   25007   80.3202517289    -34.345066383    1.4018528487   -0.5994344902  
  25011   25011   80.3304493979    4.011977638      1.4020308316   0.0700222193   
  25114   25114   80.6467938466    37.6760206734    1.4075520838   0.6575706098   
  25302   25302   81.1867771471    1.8464460424     1.4169765703   0.0322265629   
  25655   25655   82.2019065606    2.164714661      1.4346939209   0.0377813982   
  25896   25896   82.9209801444    9.2259996339     1.4472441225   0.1610240704   
  26064   26064   83.3817910539    18.5402308837    1.4552867901   0.323588073    
  26162   26162   83.6629172938    28.051055796     1.4601933686   0.4895832823   
  26319   26319   84.0743032023    -1.6353282951    1.4673734072   -0.0285418631  
  26354   26354   84.1762579079    34.2016592696    1.4691528525   0.5969315639   
  26449   26449   84.4091532137    23.1474659259    1.4732176424   0.4039994939   
  26451   26451   84.4111846299    21.1425928935    1.4732530973   0.3690078584   
  26476   26476   84.4727243135    0.9686137547     1.4743271674   0.0169054992   
  26566   26566   84.7273970691    26.3157945858    1.4787720455   0.4592972608   
  26574   26574   84.7417373375    28.4601452037    1.4790223304   0.4967232394   
  26594   26594   84.7964409414    4.1214665209     1.4799770884   0.0719331608   
  26601   26601   84.8131709022    30.1505635626    1.4802690813   0.5262266055   
  26612   26612   84.8545454336    -11.2102264932   1.4809912031   -0.1956553622  
  26634   26634   84.9122496633    -34.0740493933   1.4819983319   -0.5947043514  
  26821   26821   85.4229713503    -16.7258433082   1.4909121069   -0.2919210359  
  26845   26845   85.4973415873    29.5226401959    1.4922101124   0.5152672753   
  26872   26872   85.5827851847    43.0596015532    1.4937013845   0.7515318217   
  26964   26964   85.8312437775    23.2044101442    1.498037805    0.404993358    
  26998   26998   85.9127517737    25.4395523305    1.4994603879   0.4440039484   
  27023   27023   85.971834219     21.9519487949    1.5004915711   0.3831337837   
  27071   27071   86.1155244538    27.2299209021    1.5029994388   0.4752517748   
  27088   27088   86.1572676492    29.016605126     1.503727995    0.5064352972   
  27459   27459   87.2235390864    29.1361184956    1.5223379423   0.508521199    
  27590   27590   87.634512895     18.0263770484    1.5295107884   0.3146196317   
  27683   27683   87.910482383     21.5411413159    1.5343273646   0.3759638406   
  27699   27699   87.9764629594    28.2618675838    1.5354789429   0.4932626421   
  27808   27808   88.2753897375    26.4454119286    1.5406961994   0.4615595102   
  27842   27842   88.3630696579    0.7792163389     1.5422265027   0.0135998907   
  27850   27850   88.3795942306    25.7422477327    1.5425149109   0.4492869798   
  27881   27881   88.4993652364    26.4225335978    1.5446053093   0.461160208    
  28510   28510   90.2744552066    23.3390000216    1.5755864738   0.4073423945   
  28783   28783   91.1600446152    46.5851190812    1.5910429248   0.8130637104   
  28992   28992   91.7652857001    -34.3120217584   1.6016063745   -0.5988577527  
