# col1    HIP     RA               DE               RARad          DERad           _r        _RAJ2000     _DEJ2000     RAJ2000      DEJ2000      2MASS              Jmag     e_Jmag   Hmag     e_Hmag   Kmag     e_Kmag   Qflg Rflg Bflg Cflg Xflg   Aflg   Separation             
  17309   17309   55.5789369938    19.7002861785    0.9700354453   0.3438348574    3.1E-5    55.578968    19.700296    55.578968    19.700296    03421895+1942010   5.635    0.021    5.649    0.016    5.641    0.026    AAA 111 111 000 0      0      3.079931813248245E-5   
  17499   17499   56.2188481846    24.1134484063    0.9812040025   0.4208590687    1.67E-4   56.218886    24.113285    56.218886    24.113285    03445253+2406478   4.078    0.302    4.086    0.222    3.922    0.036    DDE 331 111 d00 0      0      1.6701180969385735E-4  
  17608   17608   56.5815014887    23.9484619949    0.9875334967   0.4179795126    1.22E-4   56.581602    23.948381    56.581602    23.948381    03461958+2356541   4.233    0.24     4.309    0.154    4.22     0.016    DBE 331 111 00d 0      0      1.2246689628682528E-4  
  17702   17702   56.8711008004    24.1052417943    0.9925879582   0.4207158363    1.45E-4   56.871191    24.105122    56.871191    24.105122    03472908+2406184   2.735    0.24     2.735    0.214    2.636    0.234    DCD 333 111 000 0      0      1.4536008056245214E-4  
  17772   17772   57.0753370209    50.7367719637    0.9961525527   0.8855237226    8.1E-5    57.075242    50.736717    57.075242    50.736717    03481805+5044121   5.949    0.026    5.947    0.018    5.94     0.02     AAA 111 111 dd0 0      0      8.14708376088957E-5    
  17851   17851   57.2966841619    24.1368255656    1.0000157891   0.4212670771    1.55E-4   57.296724    24.136675    57.296724    24.136675    03491121+2408120   5.087    0.037    5.067    0.047    4.937    0.021    EAA 111 111 000 0      0      1.548925303199911E-4   
  17963   17963   57.6044755252    52.4819079468    1.0053877618   0.9159820914    2.0E-5    57.604457    52.481892    57.604457    52.481892    03502506+5228548   6.165    0.023    6.115    0.029    5.997    0.016    AAA 111 111 000 0      0      1.9534214171041023E-5  
  18172   18172   58.3018455422    63.4834365398    1.0175591647   1.1079949881    4.4E-5    58.301786    63.483402    58.301786    63.483402    03531242+6329002   7.163    0.021    7.066    0.036    6.953    0.023    AAA 111 111 000 0      0      4.3585028063294266E-5  
  18350   18350   58.8461612573    31.0458482364    1.0270592661   0.5418522708    6.1E-5    58.846228    31.045828    58.846228    31.045828    03552309+3102449   6.149    0.018    6.073    0.024    5.92     0.016    AAA 111 111 000 0      0      6.065730878366695E-5   
  18424   18424   59.0848454022    44.9374938971    1.0312250903   0.7843072261    2.4E-5    59.084877    44.937485    59.084877    44.937485    03562037+4456149   6.945    0.02     6.813    0.027    6.627    0.023    AAA 111 111 000 0      0      2.4071937226607707E-5  
  18505   18505   59.3559813093    63.0722492127    1.0359573046   1.1008184154    3.7E-5    59.355918    63.072273    59.355918    63.072273    03572542+6304201   5.04     0.037    5.128    0.063    5.04     0.015    EAA 111 111 000 0      0      3.725375297874114E-5   
